Program,Year-Quarter,Quarter,Year,Paid memberships at end of period,Revenue,"Selling, general, administrative and other",Programming and production costs,Other operating expense
Disney+,2019-Q1,Q1,2019,,,119.0,,547.0
Hulu SVOD,2022-Q4,Q4,2022,43.5,1626.0300000000002,578.0,2106.0,463.0
Disney+,2019-Q2,Q2,2019,,,376.5,,1790.0
Hulu SVOD,2021-Q4,Q4,2021,40.9,1590.192,637.5,1832.0,371.5
Disney+,2019-Q3,Q3,2019,,,562.5,,1933.0
Hulu SVOD,2022-Q1,Q1,2022,41.4,1586.034,645.0,1913.0,419.5
Disney+,2019-Q4,Q4,2019,26.5,442.02,366.0,1920.0,211.5
Hulu SVOD,2021-Q1,Q1,2021,37.8,1369.872,505.0,1626.0,314.0
Disney+,2020-Q1,Q1,2020,33.5,565.815,529.5,,1873.5
Hulu SVOD,2022-Q3,Q3,2022,42.8,1633.248,850.5,1925.0,440.5
Disney+,2020-Q2,Q2,2020,57.5,796.9499999999999,492.5,,1782.5
Hulu SVOD,2021-Q3,Q3,2021,39.7,1531.626,703.5,3354.0,351.5
Disney+,2020-Q3,Q3,2020,73.7,1061.28,712.5,,3668.5
Hulu SVOD,2022-Q2,Q2,2022,42.2,1635.672,747.0,1894.0,411.0
Disney+,2020-Q4,Q4,2020,94.9,1147.3410000000001,485.0,2379.0,271.0
Hulu SVOD,2021-Q2,Q2,2021,39.1,1542.4950000000001,524.0,1700.0,322.5
Disney+,2021-Q1,Q1,2021,103.6,1414.1399999999999,505.0,654.0,314.0
Hulu SVOD,2020-Q1,Q1,2020,28.8,1041.984,529.5,,1873.5
Disney+,2021-Q2,Q2,2021,116.0,1555.56,524.0,772.0,322.5
Hulu SVOD,2019-Q1,Q1,2019,23.2,886.0079999999999,119.0,,547.0
Disney+,2021-Q3,Q3,2021,118.1,1619.151,703.5,-890.0,351.5
Hulu SVOD,2020-Q2,Q2,2020,32.1,1096.8570000000002,492.5,,1782.5
Disney+,2021-Q4,Q4,2021,129.8,1717.2540000000001,637.5,920.0,371.5
Hulu SVOD,2019-Q2,Q2,2019,25.7,977.6279999999999,376.5,,1790.0
Disney+,2022-Q1,Q1,2022,137.7,1796.9849999999997,645.0,1196.0,419.5
Hulu SVOD,2020-Q4,Q4,2020,35.4,1434.762,485.0,,271.0
Disney+,2022-Q2,Q2,2022,152.1,2076.1649999999995,747.0,1435.0,411.0
Hulu SVOD,2019-Q4,Q4,2019,27.2,1073.04,366.0,,211.5
Disney+,2022-Q3,Q3,2022,164.2,2088.624,850.5,1476.0,440.5
Hulu SVOD,2020-Q3,Q3,2020,32.5,1193.3999999999999,712.5,,3668.5
Disney+,2022-Q4,Q4,2022,161.8,1907.6220000000003,578.0,1681.0,463.0
Hulu SVOD,2019-Q3,Q3,2019,25.6,1005.3119999999999,562.5,,1933.0
Netflix,2022-Q3,Q3,2022,223.085,7925.589,941.167,4788.665,662.739
Netflix,2021-Q3,Q3,2021,221.879,7483.467,957.738,4206.589,563.887
Netflix,2022-Q2,Q2,2022,220.672,7970.141,984.257,4690.755,716.846
Netflix,2021-Q2,Q2,2021,209.18,7341.777,938.818,4018.008,537.321
Netflix,2022-Q1,Q1,2022,221.641,7867.767,953.906,4284.705,657.53
Netflix,2021-Q1,Q1,2021,207.639,7163.282,809.708,3868.511,525.207
Netflix,2022-Q4,Q4,2022,230.747,7852.053,1224.063,5404.16,673.926
Netflix,2021-Q4,Q4,2021,221.844,7709.318,1190.503,5239.575,647.47
Netflix,2020-Q3,Q3,2020,195.151,6435.637,799.221,3867.751,453.802
Netflix,2019-Q3,Q3,2019,158.334,5244.905,786.971,3097.919,379.776
Netflix,2020-Q2,Q2,2020,192.947,6148.286,711.606,3643.707,435.045
Netflix,2019-Q2,Q2,2019,151.562,4923.116,827.807,3005.657,383.233
Netflix,2020-Q1,Q1,2020,182.856,5767.691,755.917,3599.701,453.817
Netflix,2019-Q1,Q1,2019,148.863,4520.992,818.53,2870.614,372.764
Netflix,2020-Q4,Q4,2020,203.663,6644.442,1038.104,4165.16,486.936
Netflix,2019-Q4,Q4,2019,167.09,5467.434,1133.523,3466.023,409.376
